,auroc_mean,eer_mean,accuracy_at_eer_mean,sensitivity_at_eer_mean,specificity_at_eer_mean,accuracy_at_sensitivity90_mean,sensitivity_at_sensitivity90_mean,specificity_at_sensitivity90_mean,auroc_std,eer_std,accuracy_at_eer_std,sensitivity_at_eer_std,specificity_at_eer_std,accuracy_at_sensitivity90_std,sensitivity_at_sensitivity90_std,specificity_at_sensitivity90_std,Method,Dataset
b_m_TIC_MS_SVM,0.7880032300949097,0.2783474326133728,0.7173595666885376,0.7334511756896973,0.7098539590835571,0.4989035129547119,0.9002020239830018,0.30758818835020063,0.08185470867445523,0.0735782207532931,0.08012381395440725,0.06207729575471776,0.09353694626798134,0.14858766583160715,0.015025070343787134,0.21057144076672685,SVM,b_m_TIC_MS_SVM
b_m_TIC_MS_NN,0.8221736431121827,0.24883130192756653,0.7514962196350098,0.7501178503036499,0.7522195458412171,0.5142874598503113,0.9062626361846924,0.32042236924171447,0.03938126859305525,0.051388654062945814,0.05109719219377233,0.05233116782140686,0.050618253114228094,0.013083436037978909,0.010635371021711458,0.032344726406700615,NN,b_m_TIC_MS_NN
b_m_TIC_MS_LogisticRegression,0.8221736431121827,0.24883130192756653,0.7514962196350098,0.7501178503036499,0.7522195458412171,0.5094468832015991,0.9062626361846924,0.3132749915122986,0.03938126859305525,0.051388654062945814,0.05109719219377233,0.05233116782140686,0.050618253114228094,0.017598115911798443,0.010635371021711458,0.03559041229260294,LogisticRegression,b_m_TIC_MS_LogisticRegression
b_m_TIC_MS_LinearRegression,0.8221736431121827,0.24883130192756653,0.7514962196350098,0.7501178503036499,0.7522195458412171,0.5116207957267761,0.9062626361846924,0.3165008008480072,0.03938126859305525,0.051388654062945814,0.05109719219377233,0.05233116782140686,0.050618253114228094,0.015500481096104204,0.010635371021711458,0.034062010690990074,LinearRegression,b_m_TIC_MS_LinearRegression
b_m_TIC_autic_RandomForest,0.47528896331787107,0.5161880373954773,0.4843950212001801,0.4806397378444672,0.48698421120643615,0.40005629062652587,0.7953535437583923,0.2069443106651306,0.10633852808643576,0.08339137453425528,0.08380517819940332,0.08403481742867754,0.08419697131564521,0.06101321660736476,0.11704339364726664,0.05840120341325146,RandomForest,b_m_TIC_autic_RandomForest
b_m_TIC_autic_SVM,0.4730545222759247,0.5272560536861419,0.4587842583656311,0.5165488243103027,0.42893906235694884,0.3515364408493042,0.9076094269752503,0.08323482945561408,0.05354618649508054,0.04925019040375512,0.041371497310410475,0.08131253757233935,0.03727979415173958,0.10043912574719807,0.016662215093226306,0.13207462314532586,SVM,b_m_TIC_autic_SVM
b_m_TIC_autic_NN,0.5893612623214721,0.42583908438682555,0.5741678833961487,0.5744612812995911,0.5738605499267578,0.39974150657653806,0.9183838486671447,0.14534294828772545,0.05935039315723302,0.0362214044476866,0.035796484988983364,0.03809484515562237,0.035084007259467594,0.07909406759882559,0.027737540183986095,0.09931352298441345,NN,b_m_TIC_autic_NN
b_m_TIC_autic_LogisticRegression,0.5893612623214721,0.42583908438682555,0.5741678833961487,0.5744612812995911,0.5738605499267578,0.39974150657653806,0.9183838486671447,0.14534294828772545,0.05935039315723302,0.0362214044476866,0.035796484988983364,0.03809484515562237,0.035084007259467594,0.07909406759882559,0.027737540183986095,0.09931352298441345,LogisticRegression,b_m_TIC_autic_LogisticRegression
b_m_TIC_autic_LinearRegression,0.5893612623214721,0.42583908438682555,0.5741678833961487,0.5744612812995911,0.5738605499267578,0.39974150657653806,0.9183838486671447,0.14534294828772545,0.05935039315723302,0.0362214044476866,0.035796484988983364,0.03809484515562237,0.035084007259467594,0.07909406759882559,0.027737540183986095,0.09931352298441345,LinearRegression,b_m_TIC_autic_LinearRegression
b_m_TIC_all_RandomForest,0.710571563243866,0.34954666495323183,0.6501402199268341,0.6509090960025787,0.6499975621700287,0.45971754789352415,0.8995959758758545,0.24776334762573243,0.10358193754410137,0.11138338699283415,0.112001588640676,0.10927110651015559,0.11370752976280979,0.13331093944744538,0.019349175938956544,0.18879419499787292,RandomForest,b_m_TIC_all_RandomForest
b_m_TIC_all_SVM,0.7893673062324524,0.2598577976226807,0.7397537708282471,0.7411784529685974,0.7391059517860412,0.45848468542098997,0.9062626361846924,0.23652494624257087,0.059517574513085474,0.06292821177224064,0.0633770858195645,0.06138460484287023,0.06455602854938994,0.08951003164098394,0.010635371021711458,0.13454070483089722,SVM,b_m_TIC_all_SVM
b_m_TIC_all_NN,0.817710793018341,0.24283668398857117,0.7567616105079651,0.757845115661621,0.7564815163612366,0.45936658382415774,0.9062626361846924,0.23971979320049286,0.04317739129365247,0.057353532049193356,0.05797730075066327,0.05558687294768126,0.059302487224640085,0.05761432715450505,0.010635371021711458,0.08108836945783095,NN,b_m_TIC_all_NN
b_m_TIC_all_LogisticRegression,0.8384347677230835,0.22981615662574767,0.7700027108192444,0.7705723881721497,0.769795298576355,0.553273183107376,0.8995959758758545,0.3834494799375534,0.04239148425962112,0.059154582741402964,0.05893155201910351,0.060507748478951025,0.058043406003048394,0.08414407274331104,0.019349175938956544,0.11639743747323224,LogisticRegression,b_m_TIC_all_LogisticRegression
b_m_TIC_all_LinearRegression,0.7890437960624694,0.29770261645317075,0.7019361734390259,0.703636360168457,0.7009584069252014,0.49207602739334105,0.9062626361846924,0.28911585807800294,0.06448234517773559,0.06418472168441793,0.06406876484575116,0.0643527453827692,0.06420778407640439,0.06864691704613586,0.010635371021711458,0.09307688461811746,LinearRegression,b_m_TIC_all_LinearRegression
b_m_scalar_volume_MS_bbox_RandomForest,0.8650326490402221,0.20285047292709352,0.7959257960319519,0.8006734013557434,0.7936256527900696,0.5857851803302765,0.9062626361846924,0.43311023265123366,0.04728869602162949,0.04993423413139384,0.05015342116779329,0.05020012710181986,0.050193160903358396,0.15363035441731476,0.010635371021711458,0.21350339290710485,RandomForest,b_m_scalar_volume_MS_bbox_RandomForest
b_m_scalar_volume_MS_bbox_SVM,0.8337380170822144,0.2329235255718231,0.7663644790649414,0.7693265914916992,0.7648263573646545,0.5730935573577881,0.9062626361846924,0.4183288082480431,0.058498365749933265,0.055125365574106244,0.05506110734311827,0.05618299836204064,0.05425801827675401,0.15530070881656205,0.010635371021711458,0.21431588017709516,SVM,b_m_scalar_volume_MS_bbox_SVM
